BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"বাতিল বেশ্যার ডায়েরি","সিদ্দিক প্রামাণিক","TK. 140","TK. 123"
"শরীরেও হারমোনিয়াম থাকে","সিদ্দিক প্রামাণিক","TK. 140","TK. 123"
"সোনার নাও পবনের বৈঠা","হাসিন আরা","TK. 300","TK. 255"
"লাশপুরীর লাশের গল্প","লোকমান তাজ","TK. 160","TK. 141"
"গল্পের বনসাই","ভাস্কর চৌধুরী","TK. 180","TK. 158"
"লোক মানুষের গান ও আত্ম অন্বেষণ","বঙ্গ রাখাল","TK. 175","TK. 154"
"আজব চশমা","সফিকুল আলম (এম.এ)","TK. 260","TK. 221"
"আমাদের দৃষ্টিসীমায় কোনো বাতিঘর ছিলো না","হাসান অরিন্দম","TK. 160","TK. 141"
"হৃদ মাটি","মাহবুব জন","TK. 160","TK. 141"
"তোমায় চেয়েছি বলে","ফজিলা ইসলাম ফৌজি ","TK. 240","TK. 204"
"হৃদয় ও রাজপথ","মারুফ রায়হান","TK. 120","TK. 106"
"জীবনস্মৃতির গল্প সম্পর্ক","প্রবীর বিকাশ সরকার","TK. 245","TK. 208"
"ভালোবাসার গল্প","শরীফ শামিল","TK. 180","TK. 158"
"কুঁড়িকাল ও যুগযাপনের গল্প","শামীম সাঈদ ","TK. 350","TK. 298"
"কথাকার ও কথাসাহিত্য","আশরাফ উদ্দীন আহমদ","TK. 400","TK. 340"
"সত্যি মুখোশ মিথ্যে মুখোশ","সাবরিনা সিরাজী তিতির","TK. 150","TK. 132"
"অস্থিরতার নাম দেশলাই কাঠি","দেবাশীষ মজুমদার","TK. 150","TK. 132"
"প্রণয়পুরাণ","সৈয়দ ওয়ালী","TK. 160","TK. 141"
"আটপুকুরের ফুল","কামরুজ্জামান কাজল","TK. 160","TK. 141"
"কন্যারা জলজ নয়","চৈতী আহমেদ","TK. 150","TK. 132"
"জলমগ্ন উড়াল","হারুনর রশীদ","TK. 200","TK. 176"
"একাত্তরের সুন্দরবন","মুক্তিযোদ্ধা আবু জাফর জব্বার","TK. 350","TK. 298"
"সার্বজনীন নীরবতা চুক্তি","অপু শহীদ","TK. 160","TK. 141"
"নরকের রাজপুত্র","হাসান মাহবুব","TK. 210","TK. 179"
"ধুন্ধুমার","মাহবুব জন","TK. 140","TK. 123"
"অচেনা রৌদ্রের রঙ","তানভীর আহমেদ হৃদয়","TK. 150","TK. 132"
"হৃদয়পুরে দেশান্তরী","এ. টি. এম. মোস্তফা কামাল","TK. 150","TK. 132"
"যুগলবন্দী","বিলাল হোসেন","TK. 260","TK. 221"
"গোধূলির প্রস্থানে জ্বালাও পূর্ণিমা","কুহক মাহমুদ","TK. 150","TK. 132"
"তোমার জন্য মেয়ে","রুখসানা কাজল","TK. 150","TK. 132"
"বুশরার একরাত","মনি হায়দার ","TK. 210","TK. 179"
"বাতাসের সাথে বচসা","আব্দুল্লাহ্ জামিল","TK. 150","TK. 132"
"প্রকাশ: নির্বাচিত গল্পবিষয়ক প্রবন্ধ","শফিক হাসান","TK. 470","TK. 400"
"দীর্ঘ রাত্রির বিরুদ্ধে জেগে থাকা","শরীফ শামিল","TK. 140","TK. 123"
"কফিন কাঠের ঘুম","সালু আলমগীর","TK. 210","TK. 179"
"অন্তর্দাহ","জিয়াউল হক","TK. 150","TK. 132"
"মেঘের দেশে ফিরে যাবার গল্প","সুলতানা শাহ্‌রিয়া পিউ","TK. 150","TK. 132"
"ছোটদের রাজা হাম্মুরাবি","এম এ কাউসার","TK. 250","TK. 213"
