BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"বেলা ফুরাবার আগে","আরিফ আজাদ","TK. 287","TK. 244"
"ফ্রিল্যান্সিং : ইন্টারনেট থেকে আয়","ফ্রিল্যান্সার নাসিম  ","TK. 250","TK. 213"
"কমিউনিকেশন হ্যাকস","আয়মান সাদিক","TK. 270","TK. 230"
"নীলস্বপ্ন","নিশো আল মামুন","TK. 280","TK. 238"
"লোকে কী বলবে?","আয়মান সাদিক","TK. 255","TK. 217"
"প্রোডাক্টিভ মুসলিম","মোহাম্মদ ফারিস ","TK. 365","TK. 256"
"অর্ধবৃত্ত","সাদাত হোসাইন ","TK. 590","TK. 502"
"বিহাইন্ড দ্য সিন ","সালমান মুক্তাদির ","TK. 280","TK. 238"
"ভাইরে আপুরে-২!!! (সিলেবাসের  বাইরে )","শাব্বির আহসান","TK. 290","TK. 247"
"নোমান-১","অন্তিক মাহমুদ","TK. 240","TK. 204"
"উড়ছে হাইজেনবার্গ","শামীর মোন্তাজিদ","TK. 335","TK. 285"
"সুখী বিবাহিত ব্যাচেলর   ","মৌরি মরিয়ম","TK. 800","TK. 680"
"Exclusive Grammar And Freehand Writing (Bangla-English)","ফরিদ আহমেদ","TK. 250","TK. 175"
"হৃদ স্পন্দন - ২য় খণ্ড","অধ্যাপক (ডাঃ) মোঃ তৌফিকুর রহমান (ফারুক)","TK. 100","TK. 70"
"মেঘেদের দিন","সাদাত হোসাইন ","TK. 225","TK. 191"
"না বলতে শিখুন ","ওয়াহিদ তুষার","TK. 300","TK. 225"
"স্মার্ট প্যারেন্টিং উইথ মুহাম্মাদ (সা.)","মাসুদ শরীফ","TK. 200","TK. 140"
"ইমোশনাল মার্কেটিং","মুনির হাসান","TK. 267","TK. 227"
"স্মার্ট ইংলিশ স্মার্ট ওয়ে টু লার্ন ইংলিশ (পার্ট-২)","ফরিদ আহমেদ","TK. 250","TK. 188"
"চল্ ","অন্তিক মাহমুদ","TK. 240","TK. 204"
"আমার সাইন্টিস মামা","মুহম্মদ জাফর ইকবাল","TK. 280","TK. 238"
"ইহুদী জাতির ইতিহাস","আব্দুল্লাহ ইবনে মাহমুদ ","TK. 600","TK. 510"
"প্রজেক্ট আকাশলীন","মুহম্মদ জাফর ইকবাল","TK. 380","TK. 323"
"নাতে রাসূল (সা.)","মোঃ মেহেবুব হক","TK. 225","TK. 191"
"ইউটিউব এভরিথিং","মোস্তাফিজুর রহমান","TK. 270","TK. 230"
"কোডিং ইন্টারভিউ : প্রস্তুতি, সমস্যা ও সমাধান","তামিম শাহরিয়ার সুবিন","TK. 280","TK. 238"
"নীল প্রজাপতি","মোঃ মেহেবুব হক","TK. 300","TK. 234"
"মোবাইল ফটোগ্রাফি","সাদমান সাদিক","TK. 270","TK. 230"
"যেরকম টুনটুনি সেরকম ছোটাচ্চু","মুহম্মদ জাফর ইকবাল","TK. 230","TK. 196"
"মরণোত্তম","সাদাত হোসাইন ","TK. 225","TK. 191"
"নিমিখ পানে ২","চমক হাসান","TK. 400","TK. 340"
"রহস্যময় ব্ল্যাক হোল","মুহম্মদ জাফর ইকবাল","TK. 200","TK. 176"
"শূন্য থেকে পাইথন মেশিন লার্নিং : হাতেকলমে সাইকিট-লার্ন  (দ্বিতীয় সংস্করণ)","রকিবুল হাসান","TK. 300","TK. 255"
"অতিপ্রাকৃতের সন্ধানে","আব্দুল্লাহ ইবনে মাহমুদ ","TK. 500","TK. 425"
"প্রাইমারি গণিত অলিম্পিয়াড","আমজাদ হোসেন মামুন","TK. 270","TK. 230"
"উইজার্ড রিবর্ন","হাসিবুল ইসলাম ফাহাদ","TK. 330","TK. 248"
"মেঘডুবি","কিঙ্কর আহ্‌সান","TK. 470","TK. 400"
"গুজরাট ফাইলস : এক ভয়ঙ্কর ষড়যন্ত্রের ময়নাতদন্ত","রানা আইয়ুব","TK. 300","TK. 225"
"মোবাইল অ্যাপে ক্যারিয়ার","জুবায়ের হোসেন","TK. 200","TK. 176"
"সাইমুম সিরিজ- ৬১ : ড্রাগন ভয়ংকর","আবুল আসাদ","TK. 70","TK. 63"
"দ্য ফ্রিল্যান্সার : লেগে থাকলে সাফল্য আসবেই","মো. আমিনুর রহমান ","TK. 200","TK. 176"
"আমি হতে চাই সিরিজ","ড. উম্মে বুশরা সুমনা","","TK. 510"
"মধ্যবিত্ত","রুহুল আমিন","TK. 185","TK. 163"
"বেসিক আলী  ১২","শাহরিয়ার","TK. 220","TK. 187"
"বেদনাকে বলেছি কেঁদো না","হেলাল হাফিজ","TK. 200","TK. 176"
"গতকাল","ইশতিয়াক আহমেদ","TK. 200","TK. 156"
"উদ্যোক্তা ও ১০১ বিজনেস আইডিয়া","আবদুল হাকিম নাহিদ","TK. 150","TK. 132"
"পূর্বপুরুষ","আশীফ এন্তাজ রবি","TK. 660","TK. 561"
"ইতিহাসের ধুলোকালি","পিনাকী ভট্টাচার্য","TK. 270","TK. 189"
"হৃদমোহিনী","রেশমী রফিক","TK. 499","TK. 424"
"সন্দেহ ","সাদিয়া খান সুবাসিনী","TK. 400","TK. 340"
"কুকিং স্টুডিও","উম্মি সেলিম","TK. 600","TK. 510"
"নিতুর মাহবুব ভাই","তৃধা আনিকা","TK. 430","TK. 366"
"কম্বিনেটরিকসে হাতেখড়ি -২য় খণ্ড","আহমেদ জাওয়াদ চৌধুরী","TK. 350","TK. 298"
"বিজ্ঞানীদের কাণ্ডকারখানা ৩","রাগিব হাসান","TK. 260","TK. 221"
"ইলুমিনাতি","আবদুল কাইয়্যুম আহমেদ","TK. 234","TK. 199"
"বস ম্যানেজমেন্ট","আবীর শওকত হায়াত","TK. 260","TK. 221"
"হাজার বছরের অব্যক্ত শয়তানের গল্প","কাজী ম্যাক","TK. 380","TK. 266"
"হামাস : ফিলিস্তিন মুক্তি আন্দোলনের ভেতর-বাহির","আলী আহমাদ মাবরুর","TK. 480","TK. 336"
"বিবিএ লাইফ","জোনাইদ আল হাবীব","TK. 200","TK. 176"
"রাখাল","লতিফুল ইসলাম শিবলী","TK. 300","TK. 255"
"ঘোর","আসিফ নজরুল ","TK. 250","TK. 213"
"গল্পগুলো অন্যরকম","আরিফ আজাদ","TK. 315","TK. 268"
"দ্য কিলিং অব ওসামা (ওসামা বীন লাদেনকে হত্যার অপকাশিত ঘটনা)","সিমর হার্শ","TK. 216","TK. 162"
"মানবতার দর্পণ","মোঃ মেহেবুব হক","TK. 200","TK. 156"
"বাবু - ১১","শাহরিয়ার","TK. 120","TK. 106"
"মিতু তিতুর সাবমেরিন","মুহম্মদ জাফর ইকবাল","TK. 135","TK. 119"
"কাসিদ","জয়দীপ দে ","TK. 500","TK. 425"
"প্রমাণ করো যে...","মুরসালিন হাবিব","TK. 380","TK. 323"
"সিক্রেটস অব জায়োনিজম : বিশ্বব্যাপী জায়োনিস্ট ষড়যন্ত্রের ভেতর-বাহির","হেনরি ফোর্ড","TK. 400","TK. 280"
"ওই চাঁদ তোমার আমার","তৃধা আনিকা","TK. 400","TK. 340"
"ছদ্মবেশ","সাদাত হোসাইন ","TK. 255","TK. 217"
"লাভটিক্স","তৃধা আনিকা","TK. 180","TK. 158"
"দ্য বিজনেস স্কুল (নেটওয়ার্ক মার্কেটিংয়ের বেস্টসেলার বই )","রবার্ট টি. কিয়োসাকি","TK. 300","TK. 255"
"দেহবণ্টনবিষয়ক দ্বিপক্ষীয় চুক্তি স্বাক্ষর","মারজুক রাসেল","TK. 200","TK. 176"
"সেদিন","লামইয়া চৌধুরী","TK. 500","TK. 425"
"প্রধানমন্ত্রী প্রতিদিন চা খেতে আসেন আমাদের বাসায়","সুমন্ত আসলাম","TK. 400","TK. 340"
"অলাতচক্র","এশরার লতিফ","TK. 296","TK. 252"
"ফিজিকস অব দ্য ইমপসিবল","মিশিও কাকু","TK. 600","TK. 510"
"পাকিস্তান: আমার ইতিহাস ","ইমরান খান","TK. 450","TK. 315"
"অ পদার্থবিজ্ঞান","রাতুল খান","TK. 267","TK. 227"
"হাতেকলমে পাইথন ডিপ লার্নিং","রকিবুল হাসান","TK. 700","TK. 595"
"ছোটদের ঈমান সিরিজ","সমর্পণ টিম","TK. 960","TK. 768"
"লার্ন লিডারশিপ (ফ্রম দ্য গ্লোবাল লিডারশিপ গুরু)","মোঃ মাছুম চৌধুরী","TK. 300","TK. 255"
"গ্লিনা","মুহম্মদ জাফর ইকবাল","TK. 240","TK. 204"
"চরের মাস্টার কম্পিউটার ইঞ্জিনিয়ার","রাহিতুল ইসলাম","TK. 240","TK. 204"
"তোমাকে দেখার অসুখ","সাদাত হোসাইন ","TK. 180","TK. 139"
"লিডারশিপ","ব্রায়ান ট্রেসি","TK. 230","TK. 196"
"ব্রেইন বুস্টার","সাদমান সাদিক","TK. 335","TK. 285"
"The Art and Science of Presentation Skills","প্রফেসর মঈনুদ্দিন চৌধুরী","TK. 280","TK. 238"
"পোটকরা টু ম্যানহাটন","আসিফ আকবর","TK. 600","TK. 462"
"এবং তুমি ","ইতি চৌধুরী","TK. 375","TK. 319"
"উন্মাদ জোকস","আহসান হাবীব (কার্টুনিস্ট)","TK. 580","TK. 493"
"মেমসাহেব","নিমাই ভট্টাচার্য","TK. 150","TK. 120"
"আমার দেখা নয়াচীন","বঙ্গবন্ধু শেখ মুজিবুর রহমান","","TK. 400"
"তোমায় হৃদ মাঝারে রাখবো","মৌরি মরিয়ম","TK. 270","TK. 230"
"মহাদেশ মহাকাল","সাজ্জাক হোসেন শিহাব","TK. 400","TK. 340"
"কুকিং স্টুডিও (সৌখিন ম্যাট পেপার)","উম্মি সেলিম","TK. 700","TK. 595"
"পাশের বাসার ভাবি","দেব জ্যোতি ভক্ত","TK. 420","TK. 357"
"আরজ আলীর রম্য","ইয়াছির মিশুক","TK. 150","TK. 132"
"বাঙালির জয় বাঙালির ব্যর্থতা","ফ. র. আল সিদ্দিক","TK. 350","TK. 319"
"বনসভা","আসাদুজ্জামান জুয়েল","TK. 296","TK. 252"
"গ্রাফিত্তি","মাইবম সাধন","TK. 135","TK. 119"
"জিজ্ঞাসা ও জবাব (৪র্থ খণ্ড)","ড. খোন্দকার আব্দুল্লাহ জাহাঙ্গীর","TK. 220","TK. 143"
"বৃষ্টিমহল","ওয়াসিকা নুযহাত","TK. 320","TK. 272"
"গুপ্তধনের দ্বীপ","তুর্জয় শাকিল","TK. 200","TK. 150"
"আইনস্টাইন: জীবন ও আপেক্ষিক তত্ত্ব","শিশিরকুমার ভট্টাচার্য","TK. 350","TK. 298"
"আমি একজন সেলসম্যান!","তানভীর শাহরিয়ার রিমন","TK. 200","TK. 176"
"গণিতের মঞ্চে","আহমেদ জাওয়াদ চৌধুরী","TK. 600","TK. 510"
"স্মার্টফোন ফটোগ্রাফী","প্রীত রেজা","TK. 350","TK. 298"
"সহজে শিখি মাইক্রোসফট অফিস","মুহম্মদ আনোয়ার হোসেন ফকির","TK. 375","TK. 319"
"কালকের আন্দোলন, আজকের আন্দোলন","অনুপম দেবাশীষ রায়","TK. 360","TK. 306"
"ঝাপসা শহরের গল্প","মো. ফজলে খোদা রায়হান","TK. 185","TK. 163"
"উপমার শৈল্পিকতায় মুগ্ধময় কুরআন","নোমান আলী খান","","TK. 200"
"ইসলাম অ্যান্ড দ্য ফিউচার অফ টলারেন্স (আন্তর্জাতিকভাবে বেস্ট সেলার)","স্যাম হ্যারিস","TK. 260","TK. 221"
"ভয় অমনিবাস","রুবেল কান্তি নাথ ","TK. 800","TK. 680"
"প্রভাতকিরণ","ইসরাত জাহান দ্যুতি ","TK. 400","TK. 340"
"ত্রি   ","সুরভী হাসনীন","TK. 320","TK. 272"
"নরক নন্দিনী","নিশাত তাবাসসুম প্রাপ্তি","TK. 200","TK. 176"
"শিকড়ের সন্ধানে","হামিদা মুবাশ্বেরা","TK. 400","TK. 340"
"ডিগবাজি","আদনান মুকিত","TK. 280","TK. 238"
"কাইকর কামলার বউ","আবদুল্লাহ আল মামুন (কাইকর)","TK. 180","TK. 158"
"সাকসেস ইন স্টুডেন্ট লাইফ","জোনাইদ আল হাবীব","TK. 200","TK. 176"
"সমুদ্র থেকে সমতলে","সোলায়মান সুখন","TK. 200","TK. 176"
"স্টোরি অব বিগিনিং","ওমর সুলেইমান","TK. 350","TK. 245"
"জাভা ওয়েব প্রোগ্রামিং","আ ন ম বজলুর রহমান","TK. 480","TK. 408"
"মির্জা গালিবের গজল","মির্জা গালিব","TK. 300","TK. 255"
"এখানে ভীষণ রোদ","ওয়ালিদ প্রত্যয়","TK. 225","TK. 191"
"নদীর নাম ভেড়ামোহনা","রুমা মোদক","TK. 222","TK. 189"
"তোমার অপেক্ষায়","মিজানুর রহমান হৃদয়","TK. 200","TK. 176"
"স্বপ্নবাজ","মোস্তফা কামাল","TK. 175","TK. 154"
"ফিজিক্স অলিম্পিয়াড: এক্সপেরিমেন্টের জগতে প্রবেশ","শেখ শাফায়াত","TK. 540","TK. 459"
"শিশুর যত্নে মায়ের জিজ্ঞাসা","ডা. লুনা পারভীন","TK. 267","TK. 227"
"আমার একাত্তর","আবদুল হাকিম নাহিদ","TK. 25","TK. 23"
"কিশোর মুসা রবিন - ব্ল্যাক ম্যাজিক","রকিব হাসান","TK. 250","TK. 213"
"ছোবল","মাকসুদা আখতার প্রিয়তী","TK. 400","TK. 340"
"শান্তিনিকেতনের দিনগুলি","সন্‌জীদা খাতুন","TK. 220","TK. 187"
"নয়া বউ","মনির মোহাম্মদ ","TK. 200","TK. 150"
"রঙিলা কিতাব","কিঙ্কর আহ্‌সান","TK. 230","TK. 196"
"অবশেষে ","সাজি আফরোজ","TK. 400","TK. 340"
"শুনুন স্যার","মতীন্দ্র সরকার","TK. 200","TK. 150"
"বিপরীত দৃশ্য","রাহাত রাস্তি","TK. 150","TK. 132"
"Not All Springs End Winter","অনুপম দেবাশীষ রায়","TK. 400","TK. 340"
"স্মার্ট  হায়াতি","আহসানুল আজিম শাহ","TK. 200","TK. 176"
"স্বপ্নবাজি","রাহনূমা পারভীন","TK. 296","TK. 252"
"হারিয়ে যাবার শুরু","নীল হুরেজাহান","TK. 300","TK. 255"
"মানবাধিকার","আসিফ নজরুল ","TK. 200","TK. 176"
"করোটির মেঘে স্বপ্ন-বোধ","আরিফ রনু","TK. 180","TK. 158"
"ওয়ারেন বাফেট সাকসেস সিক্রেট ","জর্জ ইলিয়ান","TK. 160","TK. 141"
"সমাজ সংস্কৃতি রাজনীতি","আনিসুজ্জামান","TK. 300","TK. 255"
"দ্বিতীয় অধ্যায় ","আশিকা জামান","TK. 375","TK. 319"
"ফান্ডামেন্টাল অব ই-কমার্স","সাঈদ রহমান","TK. 330","TK. 281"
"রোগ জীবাণুর গল্প","সঞ্জয় মুখার্জী","TK. 300","TK. 255"
"গুড্ডু বুড়া","আনিসুল হক","TK. 100","TK. 90"
"জীবন যখন যেখানে যেভাবে","সাজিদ রায়হান","TK. 250","TK. 213"
"শোনো হে কিশোর","সামি খান","TK. 170","TK. 119"
"গোধূলি রিসোর্ট","এশরার লতিফ","TK. 270","TK. 230"
"সাকসেস সিক্রেট এলন মাস্ক","ইভেনডর ওয়াটসন","TK. 150","TK. 90"
"প্রযত্নে হারুন ভাই","অপূর্ণ রুবেল","TK. 170","TK. 111"
"বিবেকের পোস্টমর্টেম","রোমানা আক্তার শুদ্ধবালিকা","TK. 405","TK. 344"
"যে মনে কারফিউ","সাজিন আহমেদ বাবু ","TK. 175","TK. 154"
"সফলতার পাঠশালা","মুহাম্মাদ হাবীবুল্লাহ","TK. 260","TK. 182"
"জীবন একটা ধোঁকা","মেহেদী হাসান","TK. 200","TK. 176"
"প্রফেশনাল নেটওয়ার্কিং স্কিলস","আপেল মাহমুদ","TK. 200","TK. 176"
"মুরাদ টাকলা অভিধান","সিমু নাসের","TK. 400","TK. 340"
"বিবাহ বিভ্রাট অথবা ভালোবাসা","তাবাসসুম নাজ","TK. 222","TK. 189"
"দুর্গম পথের যাত্রী","আসাদ বিন হাফিজ","TK. 270","TK. 189"
"Muslim Character : A Complete Outline for Practicing Muslim","শাইখ মুহাম্মাদ আল গাজালী","","TK. 300"
"তোমায় নিয়ে","শারমিন আক্তার সাথী","TK. 400","TK. 340"
"এখানে থেমো না","আনিসুল হক","TK. 520","TK. 442"
"এখান থেকে শুরু","খালিদ ফারহান","TK. 220","TK. 154"
"মেঘ পিয়নের ব্যাগ","মিম্‌মি রহমান","TK. 200","TK. 176"
"প্রবাদ-সংস্কার-কুসংস্কার -১ম","প্রবীর ঘোষ","","TK. 630"
"নিদাস্তিয়া","তকিব তৌফিক","TK. 225","TK. 191"
"সফলতার থ্রি ডাইমেনশন","বায়েজীদ মাহমুদ ফয়সল","TK. 250","TK. 213"
"সমুদ্রগামিনী","শাহমুব জুয়েল","TK. 220","TK. 187"
"অপারেশন মুক্তাগাছা","আনিসুল হক","TK. 160","TK. 141"
"শোধ","লুনা নুসরাত","TK. 470","TK. 400"
"মৃত শহরের শেষ দৃশ্য","গৌতম কৈরী","TK. 250","TK. 213"
"নজরুল পৌরাণিক অভিধান","মাওলা প্রিন্স","TK. 450","TK. 383"
"কিশোর অ্যাডভেঞ্চার","আনিসুল হক","TK. 200","TK. 176"
"জবাইঘর","হাসান মাহবুব","TK. 320","TK. 272"
"শ্রেষ্ঠ রচনাসমগ্র","বিভূতিভূষণ বন্দ্যোপাধ্যায়","TK. 300","TK. 150"
"নাসিরুদ্দীন হোজ্জার মজার গল্প","মেরিনা আকতার মজুমদার","TK. 200","TK. 176"
"মানবজীবন","মোস্তফা কামাল","TK. 300","TK. 255"
"গোয়েন্দাসমগ্র","আনিসুল হক","TK. 500","TK. 425"
"শর্বরীশ্লোক ","রুম্পা সৈয়দা ফারজানা জামান","TK. 200","TK. 176"
"গুড্ডুবুড়ার গল্প ","আনিসুল হক","TK. 270","TK. 230"
"সন্ধ্যা ও ছায়া আখ্যান","রাজা হাসান","TK. 220","TK. 187"
"ভীষণ বিপদে গুড্ডুবুড়া","আনিসুল হক","TK. 180","TK. 158"
"তোমার দিকে যাই","মেহেদি রাসেল","TK. 200","TK. 176"
"বৃষ্টিমাতরম","বিজয় দে","TK. 300","TK. 255"
"ও দেবী ও বিহঙ্গ","রাজা সহিদুল আসলাম","TK. 325","TK. 276"
"একটি আমকাঠের চৌকি","সুমন্ত আসলাম","TK. 200","TK. 176"
"সুবোধের আয়না","মাসুদ রানা","TK. 200","TK. 176"
"কবিতাসমগ্র","আনিসুল হক","TK. 500","TK. 425"
"লাল সবুজের গল্প","আরাফাত শাহীন","TK. 175","TK. 131"
"ময়াল","মুনির হাসান","TK. 200","TK. 176"
"হু মুভড মাই চিজ?","স্পেনসার জনসন","TK. 160","TK. 141"
"মোটিভেশনাল মোমেন্টস - ২","মুফতি ইসমাঈল মেন্‌ক","TK. 330","TK. 231"
"আওয়ামী আমল (২০১৪-২০১৯)","আসিফ নজরুল ","TK. 300","TK. 255"
"সাকসেস হান্টার","সত্যজিৎ চক্রবর্ত্তী","TK. 180","TK. 158"
"দ্য $১০০ স্টার্ট আপ","ক্রিস গাইলিবিউ","TK. 300","TK. 255"
"ঘুম ভাঙছেই","রুদ্র গোস্বামী","TK. 240","TK. 187"
"অপেক্ষা-৩","রেদোয়ান মাসুদ ","TK. 270","TK. 203"
"কিছু না বলা কথা ","শারমিন আঞ্জুম","TK. 500","TK. 425"
"লিপস্টিক","শানারেই দেবী শানু","TK. 270","TK. 230"
"অমরাবতী ","রাসেল রায়হান","TK. 400","TK. 340"
"লালকুটি রহস্য","অরুণ কুমার বিশ্বাস","TK. 180","TK. 158"
"জোছনার ছায়া","মোশতাক আহমেদ","TK. 300","TK. 234"
"বাংলাদেশের মেয়ে বাংলাদেশের নারী ও অন্যান্য","মুহম্মদ জাফর ইকবাল","TK. 300","TK. 225"
"ঘুরে দাঁড়ানো","মনজুর এইচ","TK. 225","TK. 191"
"আলথুসার","মাসরুর আরেফিন","TK. 650","TK. 553"
"বধির নিরবধি","আসিফ মেহ্‌দী","TK. 150","TK. 132"
"ফ্রিল্যান্সার সুমনের দিনরাত","রাহিতুল ইসলাম","TK. 200","TK. 176"
"ছাত্রজীবনে লেখা-পড়ার সহজ ফরমূলা : মেধাবী","অধ্যাপক আনোয়ারুল কবির","TK. 400","TK. 312"
"এলিয়েন","মিন্টু হোসেন","TK. 170","TK. 150"
"মনকাহন -২য় খণ্ড","তানিয়া হাসান (সাইকোলজিস্ট)","TK. 425","TK. 361"
"রেডিও জকি","মশিউর রহমান শান্ত","TK. 200","TK. 176"
"শুদ্ধাচার","মহাজাতক ","TK. 400","TK. 300"
"বডি ল্যাংগুয়েজ","এ্যালান পীজ্‌","TK. 275","TK. 234"
"চরিত্রের প্রয়োজনে","কাসাফাদ্দৌজা নোমান","TK. 380","TK. 323"
"কিছু বইয়ের নাম থাকে না","তবীব মাহমুদ","TK. 280","TK. 175"
"ওগো বিদেশিনি","কয়েস সামী","TK. 180","TK. 158"
"আমাদের ছোট রাসেল সোনা","শেখ হাসিনা","","TK. 150"
"নিরন্তর তুমি","মোঃ মেহেবুব হক","TK. 200","TK. 156"
"হৃদয়ের কথা","অধ্যাপক (ডাঃ) মোঃ তৌফিকুর রহমান (ফারুক)","TK. 100","TK. 70"
"ফেরা ২","বিনতে আদিল","TK. 172","TK. 151"
"ডাবল স্ট্যান্ডার্ড ২.০","ডা. শামসুল আরেফীন","TK. 392","TK. 314"
"মুখোশ","ফারজানা মিতু","TK. 300","TK. 255"
"হৃদরোগ প্রতিরোধ: স্বাস্থ্য সম্মত জীবন ব্যবস্থা","অধ্যাপক (ডাঃ) মোঃ তৌফিকুর রহমান (ফারুক)","TK. 150","TK. 105"
"হাবলুদের ফ্রিল্যান্সিং","জয়িতা ব্যানার্জী","TK. 180","TK. 158"
"চাঁদের বুড়ির বয়স যখন ষোলো","মারজুক রাসেল","TK. 200","TK. 150"
"অ-লক্ষী ","শম্পা হাসনাইন","TK. 175","TK. 154"
"দ্য আর্ট অব থিংকিং ক্লিয়ারলি","রোল্‌ফ ডোবেলি","TK. 350","TK. 298"
"ভ্রমণ যাত্রা","তৌহিদ আফ্রিদি","TK. 200","TK. 176"
"জীবন গঠনে সাত অভ্যাস","কালীপ্রসন্ন দাস","TK. 400","TK. 340"
"বাঙালির  মিডিয়োক্রিটির সন্ধানে","ফাহাম আব্দুস সালাম","TK. 460","TK. 391"
"দ্য মিরাকল মর্নিং","হ্যাল এলরড","TK. 250","TK. 213"
"১০০ ওয়েজ টু মোটিভেট আদারস","স্টিভ চ্যান্ডলার","TK. 300","TK. 255"
"হোমো স্যাপিয়েনস : রিটেলিং আওয়ার স্টোরি","রাফান আহমেদ","TK. 392","TK. 314"
"কুররাতু আইয়ুন – ২ : যে জীবন জুড়ায় মনন","ডা. শামসুল আরেফীন","TK. 247","TK. 198"
"বা, অথবা কিংবা","আশান উজ জামান","TK. 320","TK. 272"
"কমিউনিকেশন স্কিল ","নিয়াজ আহমেদ","TK. 270","TK. 230"
"চা কফি আর কোয়ান্টাম মেকানিক্স","নাঈম হোসেন ফারুকী","TK. 400","TK. 312"
"ইসলামের ইতিহাস : নববী যুগ থেকে বর্তমান","ড. মুহাম্মাদ ইবরাহিম আশ-শারিকি","TK. 470","TK. 400"
"জীবন গল্প-পার্ট ২","আর জে কিবরিয়া","TK. 250","TK. 213"
"বেদনার রেস্তোরাঁ","মতিউর রহমান রিয়াদ","TK. 180","TK. 158"
"চা খাবে মীরু !","শম্পা হাসনাইন","TK. 175","TK. 154"
"রূপকথা নয়","শানজানা আলম","TK. 250","TK. 213"
"সাইকোদের মতবিনিময় সভা","মদিনা জাহান রিমি","TK. 200","TK. 176"
"ইসলাম আতংক না আদর্শ","স্বামী লক্ষ্মী শংকরাচার্য","TK. 300","TK. 255"
"সাফল্যের অদৃশ্য সিঁড়ি","আবু রেজা মো. ইয়াহিয়া","TK. 200","TK. 140"
"গণিত অলিম্পিয়াড : ১০১ সমস্যা ও সমাধান","নাফিস তিহাম","TK. 200","TK. 176"
"টাইম ম্যানেজমেন্ট","আবু মুআবিয়া ইসমাইল কামদার","TK. 218","TK. 185"
"দ্য ইন্টেলিজেন্ট ইনভেস্টর","বেঞ্জামিন গ্রাহাম","TK. 800","TK. 680"
"বেলা-অবেলা","মহিউদ্দিন আহমদ","TK. 700","TK. 595"
"আমার দেখা ওয়ান ইলেভেন","অধ্যাপক সৈয়দ মোদাচ্ছের আলী","TK. 500","TK. 425"
"এপিটাফ","সাজিদ ইসলাম","TK. 200","TK. 176"
"চন্দ্রাহত ","শানজানা আলম","TK. 222","TK. 189"
"গণিতের ধারণা ও সংখ্যাতত্ত্ব","শক্তিপদ দত্ত (শিক্ষক)","TK. 125","TK. 110"
"চতুর্থ শিল্পবিপ্লব ও বাংলাদেশ","ফয়েজ আহমদ তৈয়্যব","TK. 640","TK. 544"
"২৯","হারুন-অর-রশীদ","TK. 250","TK. 175"
"অভিযোগ নেই","রুদ্র গোস্বামী","TK. 150","TK. 117"
"নিশীথ রাতের বাদল ধারা","শানজানা আলম","TK. 400","TK. 340"
"হার্ট অভ দ্য ওয়ার্ল্ড","হেনরি রাইডার হ্যাগার্ড","TK. 203","TK. 173"
"জার্মান ভাষা শিক্ষা : দি ডয়চে স্প্রাখে (নিভু-আ-১) (বাংলা-জার্মান) ","হেমায়েত মাতুব্বর","","TK. 315"
"দ্য মিরাকল মর্নিং","হ্যাল এলরড","TK. 240","TK. 180"
"দুর্জয়-১৩ : সর্বগ্রাসী","তৌহিদুল ইকবাল সম্পদ","TK. 135","TK. 119"
"বিজনেস ইস নাথিং উইদাউট ব্র্যান্ডিং ","মোঃ মাছুম চৌধুরী","TK. 250","TK. 213"
"মাথায় যত প্রশ্ন ঘোরে","আলোঘর সম্পাদনা বিভাগ","TK. 220","TK. 187"
"ক্লিওপেট্রা","হেনরি রাইডার হ্যাগার্ড","TK. 104","TK. 92"
"গাভী বিত্তান্ত","আহমদ ছফা","TK. 190","TK. 167"
"দ্য বিজনেস অব দ্য 21 সেঞ্চুরি","রবার্ট টি. কিয়োসাকি","TK. 250","TK. 213"
"কাজের মাঝে রবের খোঁজে","আফিফা আবেদীন সাওদা","TK. 136","TK. 120"
"ওয়ান স্মল স্টেপ ক্যান চেঞ্জ ইউর লাইফ","রবার্ট মুর","TK. 250","TK. 213"
"মানহা আত্মার আত্মীয়","মোর্শেদা হোসেন রুবী","TK. 470","TK. 400"
"জাদুকরী ভ্রম","হামিম কামাল","TK. 460","TK. 391"
"ইট দ্যাট ফ্রগ","ব্রায়ান ট্রেসি","TK. 200","TK. 160"
"হাউ টু উইন ফ্রেন্ড অ্যান্ড ইনফ্লুয়েন্স পিপল","ডেল কার্নেগী","TK. 300","TK. 255"
"জীবন যদি হতো নারী সাহাবির মতো","ড. হানান লাশিন","TK. 186","TK. 164"
"মোসাদ ‘র’ ও অন্যান্য","মুহসিন আব্দুল্লাহ","TK. 600","TK. 378"
"ব্রেইনফ্লুয়েন্স : দ্য সাইকোলজি অব মার্কেটিং","মুনতাসির মাহদী","TK. 250","TK. 213"
"দারিদ্র্যের অর্থনীতি : অতীত, বর্তমান ও ভবিষ্যৎ","আকবর আলি খান ","TK. 720","TK. 612"
"কুরআন বোঝার মজা ","আবদুল্লাহ আল মাসউদ","TK. 242","TK. 194"
"লাভ ক্যান্ডি","জাফর বিপি ","TK. 300","TK. 225"
"অপশক্তি : মাসুদ রানা ৪৬১","কাজী আনোয়ার হোসেন","TK. 141","TK. 124"
"সাইকোলজি : ইসলামি দৃষ্টিকোণ","ডঃ আইশা হামদান","TK. 334","TK. 284"
"ফক্সট্রট ইন কান্দাহার","ডুয়্যান ইভান্স","TK. 300","TK. 225"
